Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Soldering iron tip cleaner","To get solder off my soldering iron when soldering the split keyboard",1,2.51,"https://www.aliexpress.com/item/1005011767599627.html?spm=a2g0o.productlist.main.27.7328c2f2shmCH7&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005011767599627%7C_p_origin_prod%3A&algo_pvid=cc685b5f-8751-4102-90f8-53ff884c5232&algo_exp_id=cc685b5f-8751-4102-90f8-53ff884c5232&pdp_ext_f=%7B%22order%22%3A%229%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.70%212.51%21%21%2138.78%2117.11%21%402101d6ff17761259441958065e0e06%2112000056487277700%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204651200","ali-express"
"Tweezers","So i can place small stuff on a board",1,3.80,"https://www.aliexpress.com/item/1005008096741092.html?spm=a2g0o.productlist.main.9.4c38be661axNMB&algo_pvid=bf336258-f5d2-4640-9eb9-c3400287f7d3&algo_exp_id=bf336258-f5d2-4640-9eb9-c3400287f7d3-8&pdp_ext_f=%7B%22order%22%3A%22112%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2110.78%213.77%21%21%2173.30%2125.65%21%402101d97817761258015788989ee059%2112000043710740481%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=Mt26q52kHGuW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008096741092%7C_p_origin_prod%3A","Ali-express"
"Wick","So if I make mistakes i can suck up the solder",1,1.90,"https://www.aliexpress.com/item/1005005111965242.html?spm=a2g0o.productlist.main.3.1f37DXflDXfl2M&algo_pvid=1c46e9b7-bb70-4c58-9f79-255ede25b328&algo_exp_id=1c46e9b7-bb70-4c58-9f79-255ede25b328-2&pdp_ext_f=%7B%22order%22%3A%2245%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.88%211.88%21%21%211.88%211.88%21%402101c59117761256926156551e99f7%2112000031701100437%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=mRkJDXXkg8eW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005111965242%7C_p_origin_prod%3A","Ali-express"
"Helping hands","to allow me to solder all the stuff",1,1.50,"https://www.aliexpress.com/item/1005011766151305.html?spm=a2g0o.productlist.main.1.481cVm5XVm5Xzy&algo_pvid=d26a067d-f485-4524-b116-90d984bdbd17&algo_exp_id=d26a067d-f485-4524-b116-90d984bdbd17-0&pdp_ext_f=%7B%22order%22%3A%2227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2112.18%210.99%21%21%2182.78%216.69%21%402103212b17761255550781608e26da%2112000056480873900%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=XIfqg1kNm8Ci&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011766151305%7C_p_origin_prod%3A","Ali-express"
"M3X4X5 Heat Insert Nut M3 Threaded","for inseting pcb t case",50,2.88,"https://www.aliexpress.com/item/1005010775775055.html?spm=a2g0o.productlist.main.5.8270VWLgVWLgfU&algo_pvid=5d20a7d9-fe9d-46a3-99e0-bb8002b99240&algo_exp_id=5d20a7d9-fe9d-46a3-99e0-bb8002b99240-4&pdp_ext_f=%7B%22order%22%3A%2227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.95%212.88%21%21%2147.28%2119.58%21%4021030a6217761254961261252e2bd4%2112000053469867927%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204651200&curPageLogUid=NCSO1LTRLGJM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010775775055%7C_p_origin_prod%3A","Ali-express"
"Case printing and shipping","The case",1,7.00,"","Printing Legion"
"PCB","The board which the components go on",1,31.50,"","JLCPCB"
"xiao nRF52840","microcontroller",2,13.62,"https://www.aliexpress.com/item/1005006988954136.html?spm=a2g0o.productlist.main.1.59c9qZFNqZFNqM&algo_pvid=59a296da-82e0-4b65-b5b5-be68fc8709da&algo_exp_id=59a296da-82e0-4b65-b5b5-be68fc8709da-0&pdp_ext_f=%7B%22order%22%3A%221989%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2135.89%2113.62%21%21%21244.00%2192.57%21%402101eecd17760577752436478e83e2%2112000042942288178%21sea%21AU%217402515296%21X%211%210%21n_tag%3A-29911%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000204047332&curPageLogUid=Ylmc5XGHF4Vx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006988954136%7C_p_origin_prod%3A","Ali-express"
"Diodes","to prevent ghosting",100,0.86,"https://www.aliexpress.com/item/32947233235.html?spm=a2g0o.productlist.main.4.d94d2d8bu6I5TB&aem_p4p_detail=2026041222120919273074358951920002316458&algo_pvid=8d9d299d-7065-4467-aa40-a1696623dfeb&algo_exp_id=8d9d299d-7065-4467-aa40-a1696623dfeb-3&pdp_ext_f=%7B%22order%22%3A%2274%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.86%210.82%21%21%210.86%210.82%21%402101eee917760571299056119ee961%2166204047427%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895&curPageLogUid=F7ZBmq9h6Im1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32947233235%7C_p_origin_prod%3A&search_p4p_id=2026041222120919273074358951920002316458_1","Ali-express"
"M2 screws","to hold it together",50,1.90,"https://www.aliexpress.com/item/1005005070119421.html?spm=a2g0o.productlist.main.2.346548ab4NZzwl&algo_pvid=d25a0667-c54a-4cf3-a1e0-3a0220de0126&algo_exp_id=d25a0667-c54a-4cf3-a1e0-3a0220de0126-1&pdp_ext_f=%7B%22order%22%3A%2247544%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.54%210.99%21%21%212.54%210.99%21%402103274e17760568275421650e83f3%2112000031519353295%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Aef1e07f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000203295528&curPageLogUid=QL9hN1rPFrTw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005070119421%7C_p_origin_prod%3A","Ali-express"
"Keycaps","to cover the keys",124,3.93,"https://www.aliexpress.com/item/1005007360831985.html","Ali-express"
"Switches","Buttons for keyboard",110,16.00,"https://www.aliexpress.com/item/1005004285423123.html","Ali-express"